user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Unknown_BY606-001R0025_bin.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	GCA_944320665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp944320665	86.49	0.475	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_949288735.1, s__Alistipes sp949288735, 95.0, 79.79, 0.154	72.29	11	0.98964	N/A
Unknown_BY606-001R0025_bin.30	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp937894065	GCA_937894065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp937894065	98.29	0.837	GCA_937894065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp937894065	98.29	0.837	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_949295065.1, s__Parabacteroides sp949295065, 95.0, 93.84, 0.707	79.82	11	N/A	N/A
Unknown_BY606-001R0025_bin.36	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.15	11	0.85641	N/A
Unknown_BY606-001R0025_bin.38	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.73	0.944	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.73	0.944	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019402445.1, s__Brachyspira pilosicoli_B, 95.0, 94.72, 0.846; GCF_008016535.1, s__Brachyspira pilosicoli_A, 95.0, 91.57, 0.704; GCF_934747485.1, s__Brachyspira sp934747485, 95.0, 91.44, 0.756; GCF_009755885.1, s__Brachyspira sp009755885, 95.0, 91.13, 0.808; GCA_934725655.1, s__Brachyspira sp934725655, 95.0, 90.38, 0.57; GCF_000223215.1, s__Brachyspira intermedia, 95.0, 82.08, 0.153	93.23	11	N/A	N/A
Unknown_BY606-001R0025_bin.39	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	N/A	N/A	N/A	N/A	N/A	GCA_944324495.1	95.0	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__Mucispirillum sp944324495	86.56	0.548	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945929285.1, s__Mucispirillum sp945929285, 95.0, 85.43, 0.333; GCA_949287985.1, s__Mucispirillum schaedleri_A, 95.0, 84.37, 0.44; GCA_944325215.1, s__Mucispirillum sp944325215, 95.0, 84.25, 0.427; GCA_944326705.1, s__Mucispirillum sp944326705, 95.0, 80.04, 0.184; GCA_944324465.1, s__Mucispirillum sp944324465, 95.0, 79.78, 0.154; GCA_944323205.1, s__Mucispirillum sp944323205, 95.0, 79.61, 0.159	88.76	11	0.98428	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0025_bin.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	GCF_000157915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	98.47	0.896	GCF_000157915.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprophilus	98.47	0.896	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	89.53	11	N/A	N/A
Unknown_BY606-001R0025_bin.42	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A pullicola	GCA_018883725.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A pullicola	98.32	0.808	GCA_018883725.1	95.0	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A pullicola	98.32	0.808	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000158195.2, s__Fusobacterium_A mortiferum, 95.0, 85.23, 0.441; GCF_905193685.1, s__Fusobacterium_A sp900555485, 95.0, 83.27, 0.299; GCF_900450765.1, s__Fusobacterium_A necrogenes, 95.0, 82.78, 0.295; GCA_900764925.1, s__Fusobacterium_A sp900764925, 95.0, 82.63, 0.256; GCA_019410665.1, s__Fusobacterium_A sp019410665, 95.0, 81.89, 0.21; GCA_020024915.1, s__Fusobacterium_A sp020024915, 95.0, 81.79, 0.234; GCF_019012925.1, s__Fusobacterium_A sp019012925, 95.0, 81.7, 0.224	90.82	11	N/A	N/A
Unknown_BY606-001R0025_bin.44	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019112735.1, s__Mediterraneibacter guildfordensis, 95.0, 83.45, 0.35; GCA_019120575.1, s__Mediterraneibacter quadrami, 95.0, 83.41, 0.341; GCA_944376685.1, s__Mediterraneibacter sp944376685, 95.0, 82.23, 0.217; GCA_019120275.1, s__Mediterraneibacter excrementavium, 95.0, 82.14, 0.264	85.4	11	0.99026	N/A
Unknown_BY606-001R0025_bin.45	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__UMGS2016 sp945872435	GCA_945872435.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__UMGS2016 sp945872435	98.83	0.91	GCA_945872435.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__UMGS2016 sp945872435	98.83	0.91	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__UMGS2016;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900557185.1, s__UMGS2016 sp900557185, 95.0, 84.05, 0.255; GCA_905203475.1, s__UMGS2016 sp905203475, 95.0, 83.74, 0.278; GCA_949288035.1, s__UMGS2016 sp949288035, 95.0, 83.59, 0.303; GCA_944355255.1, s__UMGS2016 sp944355255, 95.0, 83.21, 0.296; GCA_944332735.1, s__UMGS2016 sp944332735, 95.0, 82.71, 0.191	73.6	11	N/A	N/A
Unknown_BY606-001R0025_bin.6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__Enterousia sp944390125	GCA_944390125.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__Enterousia sp944390125	98.14	0.926	GCA_944390125.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__Enterousia sp944390125	98.14	0.926	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944389685.1, s__Enterousia sp944389685, 95.0, 81.46, 0.159; GCA_944389555.1, s__Enterousia sp944389555, 95.0, 79.62, 0.193	73.64	11	N/A	N/A
Unknown_BY606-001R0026_bin.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp937894065	GCA_937894065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp937894065	97.96	0.77	GCA_937894065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp937894065	97.96	0.77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_949295065.1, s__Parabacteroides sp949295065, 95.0, 93.79, 0.757	80.32	11	N/A	N/A
Unknown_BY606-001R0026_bin.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp022767745	GCA_022767745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp022767745	98.05	0.944	GCA_022767745.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp022767745	98.05	0.944	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_949283205.1, s__Alistipes sp949283205, 95.0, 87.02, 0.57; GCA_949296635.1, s__Alistipes sp949296635, 95.0, 86.68, 0.551; GCA_019120095.1, s__Alistipes merdipullorum, 95.0, 86.67, 0.485; GCA_944320685.1, s__Alistipes sp944320685, 95.0, 85.99, 0.564	85.44	11	N/A	N/A
Unknown_BY606-001R0026_bin.17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola	GCF_000154845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola	97.36	0.831	GCF_000154845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola coprocola	97.36	0.831	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 96.23, 0.34; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 94.91, 0.378; GCA_000432735.1, s__Phocaeicola sp000432735, 95.0, 83.39, 0.373; GCA_000436795.1, s__Phocaeicola sp000436795, 95.0, 82.88, 0.33	72.41	11	N/A	N/A
Unknown_BY606-001R0026_bin.19	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__Metalachnospira sp902406135	GCA_902406135.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__Metalachnospira sp902406135	97.14	0.811	GCA_902406135.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__Metalachnospira sp902406135	97.14	0.811	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Metalachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019423725.1, s__Metalachnospira sp019423725, 95.0, 84.91, 0.381	75.89	11	N/A	N/A
Unknown_BY606-001R0026_bin.23	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.74	0.927	GCF_000325665.1	95.0	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli	98.74	0.927	d__Bacteria;p__Spirochaetota;c__Brachyspirae;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_019402445.1, s__Brachyspira pilosicoli_B, 95.0, 94.76, 0.82; GCF_934747485.1, s__Brachyspira sp934747485, 95.0, 91.87, 0.737; GCF_008016535.1, s__Brachyspira pilosicoli_A, 95.0, 91.67, 0.691; GCF_009755885.1, s__Brachyspira sp009755885, 95.0, 90.97, 0.784; GCA_934725655.1, s__Brachyspira sp934725655, 95.0, 90.28, 0.544	91.08	11	N/A	N/A
Unknown_BY606-001R0026_bin.24	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter caccogallinarum	GCA_019120245.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter caccogallinarum	98.5	0.903	GCA_019120245.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter caccogallinarum	98.5	0.903	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944383745.1, s__Mediterraneibacter sp944383745, 95.0, 85.6, 0.401; GCA_019119735.1, s__Mediterraneibacter faecigallinarum, 95.0, 85.17, 0.385	80.81	11	N/A	N/A
Unknown_BY606-001R0026_bin.26	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	92.93	11	0.85679	N/A
Unknown_BY606-001R0026_bin.27	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	GCA_019115075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	97.13	0.849	GCA_019115075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris	97.13	0.849	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019119615.1, s__Alistipes stercoravium, 95.0, 84.84, 0.372; GCA_019115605.1, s__Alistipes faecigallinarum, 95.0, 84.34, 0.333; GCF_006542685.1, s__Alistipes dispar, 95.0, 83.62, 0.287; GCF_022782405.1, s__Alistipes sp022782405, 95.0, 83.51, 0.324; GCF_949296715.1, s__Alistipes sp949296715, 95.0, 83.45, 0.281; GCA_019119845.1, s__Alistipes merdavium, 95.0, 82.9, 0.251; GCA_938014215.1, s__Alistipes sp938014215, 95.0, 82.83, 0.237; GCA_944321945.1, s__Alistipes sp944321945, 95.0, 82.31, 0.194; GCF_900604385.1, s__Alistipes megaguti, 95.0, 82.29, 0.215; GCA_944320625.1, s__Alistipes sp944320625, 95.0, 82.21, 0.16; GCA_019118605.1, s__Alistipes faecavium, 95.0, 82.11, 0.231; GCA_019115245.1, s__Alistipes cottocaccae, 95.0, 82.08, 0.194; GCA_944321185.1, s__Alistipes sp944321185, 95.0, 81.85, 0.209; GCF_900107675.1, s__Alistipes timonensis, 95.0, 81.67, 0.175; GCA_019112825.1, s__Alistipes excrementigallinarum, 95.0, 81.66, 0.173; GCF_900083545.1, s__Alistipes provencensis, 95.0, 81.63, 0.17; GCF_025145845.1, s__Alistipes shahii, 95.0, 81.6, 0.174; GCF_900541585.1, s__Alistipes sp900541585, 95.0, 81.54, 0.175; GCA_944321765.1, s__Alistipes sp944321765, 95.0, 81.52, 0.211; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 81.5, 0.178; GCA_947364365.1, s__Alistipes sp947364365, 95.0, 81.4, 0.176; GCA_019115745.1, s__Alistipes intestinigallinarum, 95.0, 81.36, 0.18; GCA_902362705.1, s__Alistipes sp002358415, 95.0, 81.35, 0.187; GCA_944321965.1, s__Alistipes sp944321965, 95.0, 81.31, 0.17; GCA_019113885.1, s__Alistipes intestinipullorum, 95.0, 81.3, 0.155; GCF_020026455.1, s__Alistipes sp020026455, 95.0, 81.23, 0.16; GCA_019119475.1, s__Alistipes stercorigallinarum, 95.0, 81.17, 0.164; GCA_910576555.1, s__Alistipes sp910576555, 95.0, 81.17, 0.155; GCA_900553175.1, s__Alistipes sp900553175, 95.0, 80.87, 0.185; GCF_018362775.1, s__Alistipes montrealensis, 95.0, 80.64, 0.153; GCF_025145285.1, s__Alistipes onderdonkii, 95.0, 80.41, 0.16	92.41	11	N/A	N/A
Unknown_BY606-001R0026_bin.28	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__Enterousia sp944390125	GCA_944390125.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__Enterousia sp944390125	98.23	0.893	GCA_944390125.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__Enterousia sp944390125	98.23	0.893	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rs-D84;f__Rs-D84;g__Enterousia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944389685.1, s__Enterousia sp944389685, 95.0, 81.36, 0.177; GCA_944389535.1, s__Enterousia sp944389535, 95.0, 80.47, 0.183; GCA_944389555.1, s__Enterousia sp944389555, 95.0, 79.94, 0.22; GCA_949288265.1, s__Enterousia sp949288265, 95.0, 79.19, 0.157	80.46	11	N/A	N/A
Unknown_BY606-001R0026_bin.3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905215575.1, s__Paraprevotella sp905215575, 95.0, 82.51, 0.188; GCF_003477995.1, s__Paraprevotella sp003477995, 95.0, 82.09, 0.278; GCA_018883665.1, s__Paraprevotella stercoravium, 95.0, 81.84, 0.197; GCA_944321345.1, s__Paraprevotella sp944321345, 95.0, 81.29, 0.222	75.35	11	0.97852	N/A
Unknown_BY606-001R0026_bin.31	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RGIG2774;s__RGIG2774 sp944380845	GCA_944380845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RGIG2774;s__RGIG2774 sp944380845	98.49	0.921	GCA_944380845.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RGIG2774;s__RGIG2774 sp944380845	98.49	0.921	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RGIG2774;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.56	11	N/A	N/A
Unknown_BY606-001R0026_bin.32	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_949287525.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp949287525	88.87	0.577	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_019116245.1, s__Tidjanibacter faecipullorum, 95.0, 88.93, 0.588	60.26	11	0.99132	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0026_bin.33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.71	11	0.97623	N/A
Unknown_BY606-001R0026_bin.35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	N/A	N/A	N/A	N/A	N/A	GCA_018883555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola faecigallinarum	94.34	0.622	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_937912035.1, s__Phocaeicola sp937912035, 95.0, 90.51, 0.496; GCF_025567135.1, s__Phocaeicola cellulolyticus, 95.0, 90.2, 0.448; GCF_016902295.1, s__Phocaeicola caecigallinarum_A, 95.0, 88.9, 0.377; GCF_021531075.1, s__Phocaeicola caecigallinarum_B, 95.0, 87.23, 0.336; GCF_900544075.1, s__Phocaeicola sp900544075, 95.0, 86.78, 0.288; GCA_944320855.1, s__Phocaeicola sp944320855, 95.0, 85.77, 0.264; GCA_944322395.1, s__Phocaeicola sp944322395, 95.0, 85.72, 0.304; GCA_944320605.1, s__Phocaeicola sp944320605, 95.0, 85.17, 0.27; GCA_018884025.1, s__Phocaeicola faecipullorum, 95.0, 85.05, 0.212	71.74	11	0.99486	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Unknown_BY606-001R0026_bin.43	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__CAG-266;s__CAG-266 sp019117495	GCA_019117495.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__CAG-266;s__CAG-266 sp019117495	96.26	0.849	GCA_019117495.1	95.0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__CAG-266;s__CAG-266 sp019117495	96.26	0.849	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__CAG-266;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019417125.1, s__CAG-266 sp019417125, 95.0, 86.46, 0.551; GCA_949299135.1, s__CAG-266 sp949299135, 95.0, 86.1, 0.528; GCA_949287345.1, s__CAG-266 sp949287345, 95.0, 86.05, 0.456; GCA_900554395.1, s__CAG-266 sp900554395, 95.0, 85.84, 0.448; GCA_944390935.1, s__CAG-266 sp944390935, 95.0, 85.27, 0.541; GCA_003150755.1, s__CAG-266 sp003150755, 95.0, 84.77, 0.505; GCA_949288065.1, s__CAG-266 sp949288065, 95.0, 84.74, 0.462; GCA_905207485.1, s__CAG-266 sp905207485, 95.0, 84.71, 0.446; GCA_949295115.1, s__CAG-266 sp949295115, 95.0, 84.65, 0.502	94.84	11	N/A	N/A
Unknown_BY606-001R0026_bin.47	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp944380765	GCA_944380765.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp944380765	98.95	0.948	GCA_944380765.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp944380765	98.95	0.948	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	90.71	11	N/A	N/A
